Business_Week,Silver_Change,Silver_Settle,Silver_Volume,Silver_Prev. Day Open Interest,Date,Open Interest,Ten_Yr_Futures_Change,Ten_Yr_Futures_Settle,Ten_Yr_Futures_Volume,Ten_Yr_Futures_Prev. Day Open Interest,USD_Change,USD_Settle,USD_Volume,USD_Wave,USD_Prev. Day Open Interest,ZAR_Change,ZAR_Settle,ZAR_Volume,ZAR_Wave,ZAR_Prev. Day Open Interest
"[2006-06-07, 2006-06-11]",,11.391666666666666,19165.0,48839.666666666664,2006-06-13,163132.0,,105.80729166666667,45881.666666666664,76627.66666666667,0.3433333333333333,85.51666666666667,6773.333333333333,,32902.333333333336,-0.015500000000000002,6.747,42.0,,2322.0
"[2006-06-14, 2006-06-18]",,9.945,17310.333333333332,44097.0,2006-06-20,161702.0,,105.16666666666667,11343.0,22336.666666666668,-0.16666666666666666,86.05,1183.3333333333333,,16401.666666666668,0.0023333333333333344,6.887166666666666,67.66666666666667,,2295.3333333333335
"[2006-06-21, 2006-06-25]",,10.305,13787.666666666666,35695.0,2006-06-27,141778.0,,104.41666666666667,484509.6666666667,1412628.3333333333,0.23000000000000007,85.93333333333334,6513.0,,22332.0,0.14725,7.43,618.0,,2672.0
"[2006-06-28, 2006-07-02]",,10.440333333333333,12388.333333333334,7631.333333333333,2006-07-03,131659.0,,104.44791666666667,787568.3333333334,2145963.6666666665,-0.4000000000000001,85.55666666666667,4592.0,,18126.0,-0.056333333333333326,7.2245,38.0,,2013.0
"[2006-07-05, 2006-07-09]",,11.389000000000001,364.0,887.3333333333334,2006-07-11,135926.0,,104.53645833333333,913654.6666666666,2131070.0,-0.05333333333333332,84.97333333333334,3274.6666666666665,,16581.333333333332,0.030833333333333334,7.198666666666667,253.0,,2043.3333333333333
"[2006-07-12, 2006-07-16]",,11.443333333333333,88.33333333333333,557.6666666666666,2006-07-18,135165.0,,105.24479166666667,842755.0,2044779.0,0.25,85.63,4649.333333333333,,16948.333333333332,0.02766666666666667,7.237333333333333,23.333333333333332,,2587.3333333333335
"[2006-07-19, 2006-07-23]",,10.948333333333332,42.666666666666664,446.3333333333333,2006-07-25,132941.0,,105.53125,1071201.6666666667,2016793.6666666667,-0.35333333333333333,85.93,4911.0,,14744.0,-0.056999999999999995,7.042000000000001,100.33333333333333,,2652.3333333333335
"[2006-07-26, 2006-07-30]",,11.245,2017.6666666666667,15776.666666666666,2006-08-01,133573.0,,105.76041666666667,848549.3333333334,1991288.6666666667,-0.4066666666666667,85.49333333333334,2761.3333333333335,,14016.333333333334,-0.042,6.933833333333333,94.33333333333333,,2523.0
"[2006-08-02, 2006-08-06]",,12.273333333333333,15834.333333333334,48122.0,2006-08-08,146644.0,,106.29166666666667,984065.0,2099285.0,-0.14666666666666664,84.67,3243.3333333333335,,13926.333333333334,-0.041833333333333333,6.894166666666666,7.666666666666667,,2099.6666666666665
"[2006-08-09, 2006-08-13]",,12.186666666666667,15177.666666666666,44975.666666666664,2006-08-15,149122.0,,106.265625,714818.6666666666,2129380.0,0.30333333333333334,84.94666666666667,2676.0,,16057.666666666666,-0.007999999999999998,6.7955,57.666666666666664,,1958.3333333333333
